scenario,final_value,max_value,min_value
0,1951.51,1951.51,1000.00
1,2047.30,2047.30,1000.00
2,2143.13,2143.13,1000.00
3,2238.99,2238.99,1000.00
4,2334.88,2334.88,1000.00
5,2430.80,2430.80,1000.00
6,2526.75,2526.75,1000.00
7,2622.73,2622.73,1000.00
8,2718.75,2718.75,1000.00
9,2814.79,2814.79,1000.00
10,2910.87,2910.87,1000.00
11,3006.97,3006.97,1000.00
12,3103.11,3103.11,1000.00
13,3199.28,3199.28,1000.00
14,3295.48,3295.48,1000.00
15,3391.71,3391.71,1000.00
16,3487.98,3487.98,1000.00
17,3584.27,3584.27,1000.00
18,3680.59,3680.59,1000.00
19,3776.95,3776.95,1000.00
20,3873.34,3873.34,1000.00
21,3969.76,3969.76,1000.00
22,4066.21,4066.21,1000.00
23,4162.69,4162.69,1000.00
24,4259.20,4259.20,1000.00
25,4355.74,4355.74,1000.00
26,4452.32,4452.32,1000.00
27,4548.92,4548.92,1000.00
28,4645.56,4645.56,1000.00
29,4742.23,4742.23,1000.00
30,4838.93,4838.93,1000.00
31,4935.66,4935.66,1000.00
32,5032.42,5032.42,1000.00
33,5129.21,5129.21,1000.00
34,5226.04,5226.04,1000.00
35,5322.89,5322.89,1000.00
36,5419.78,5419.78,1000.00
37,5516.70,5516.70,1000.00
38,5613.65,5613.65,1000.00
39,5710.63,5710.63,1000.00
40,5807.64,5807.64,1000.00
41,5904.69,5904.69,1000.00
42,6001.76,6001.76,1000.00
43,6098.87,6098.87,1000.00
44,6196.01,6196.01,1000.00
45,6293.18,6293.18,1000.00
46,6390.38,6390.38,1000.00
47,6487.61,6487.61,1000.00
48,6584.88,6584.88,1000.00
49,6682.17,6682.17,1000.00
50,6779.50,6779.50,1000.00
51,6876.86,6876.86,1000.00
52,6974.25,6974.25,1000.00
53,7071.67,7071.67,1000.00
54,7169.12,7169.12,1000.00
55,7266.61,7266.61,1000.00
56,7364.12,7364.12,1000.00
57,7461.67,7461.67,1000.00
58,7559.25,7559.25,1000.00
59,7656.86,7656.86,1000.00
60,7754.50,7754.50,1000.00
61,7852.18,7852.18,1000.00
62,7949.88,7949.88,1000.00
63,8047.62,8047.62,1000.00
64,8145.39,8145.39,1000.00
65,8243.19,8243.19,1000.00
66,8341.02,8341.02,1000.00
67,8438.88,8438.88,1000.00
68,8536.78,8536.78,1000.00
69,8634.70,8634.70,1000.00
70,8732.66,8732.66,1000.00
71,8830.65,8830.65,1000.00
72,8928.67,8928.67,1000.00
73,9026.72,9026.72,1000.00
74,9124.81,9124.81,1000.00
75,9222.92,9222.92,1000.00
76,9321.07,9321.07,1000.00
77,9419.25,9419.25,1000.00
78,9517.46,9517.46,1000.00
79,9615.71,9615.71,1000.00
80,9713.98,9713.98,1000.00
81,9812.29,9812.29,1000.00
82,9910.63,9910.63,1000.00
83,10009.00,10009.00,1000.00
84,10107.40,10107.40,1000.00
85,10205.83,10205.83,1000.00
86,10304.30,10304.30,1000.00
87,10402.80,10402.80,1000.00
88,10501.33,10501.33,1000.00
89,10599.89,10599.89,1000.00
90,10698.48,10698.48,1000.00
91,10797.10,10797.10,1000.00
92,10895.76,10895.76,1000.00
93,10994.45,10994.45,1000.00
94,11093.17,11093.17,1000.00
95,11191.92,11191.92,1000.00
96,11290.71,11290.71,1000.00
97,11389.52,11389.52,1000.00
98,11488.37,11488.37,1000.00
99,11587.25,11587.25,1000.00
100,11686.16,11686.16,1000.00
101,11785.10,11785.10,1000.00
102,11884.08,11884.08,1000.00
103,11983.09,11983.09,1000.00
104,12082.13,12082.13,1000.00
105,12181.20,12181.20,1000.00
106,12280.30,12280.30,1000.00
107,12379.44,12379.44,1000.00
108,12478.60,12478.60,1000.00
109,12577.80,12577.80,1000.00
110,12677.03,12677.03,1000.00
111,12776.30,12776.30,1000.00
112,12875.59,12875.59,1000.00
113,12974.92,12974.92,1000.00
114,13074.28,13074.28,1000.00
115,13173.67,13173.67,1000.00
116,13273.10,13273.10,1000.00
117,13372.55,13372.55,1000.00
118,13472.04,13472.04,1000.00
119,13571.56,13571.56,1000.00
120,13671.11,13671.11,1000.00
121,13770.69,13770.69,1000.00
122,13870.31,13870.31,1000.00
123,13969.96,13969.96,1000.00
124,14069.64,14069.64,1000.00
125,14169.35,14169.35,1000.00
126,14269.10,14269.10,1000.00
127,14368.87,14368.87,1000.00
128,14468.68,14468.68,1000.00
129,14568.52,14568.52,1000.00
130,14668.40,14668.40,1000.00
131,14768.30,14768.30,1000.00
132,14868.24,14868.24,1000.00
133,14968.21,14968.21,1000.00
134,15068.21,15068.21,1000.00
135,15168.25,15168.25,1000.00
136,15268.32,15268.32,1000.00
137,15368.42,15368.42,1000.00
138,15468.55,15468.55,1000.00
139,15568.71,15568.71,1000.00
140,15668.91,15668.91,1000.00
141,15769.13,15769.13,1000.00
142,15869.40,15869.40,1000.00
143,15969.69,15969.69,1000.00
144,16070.01,16070.01,1000.00
145,16170.37,16170.37,1000.00
146,16270.76,16270.76,1000.00
147,16371.18,16371.18,1000.00
148,16471.64,16471.64,1000.00
149,16572.13,16572.13,1000.00
150,16672.64,16672.64,1000.00
151,16773.20,16773.20,1000.00
152,16873.78,16873.78,1000.00
153,16974.40,16974.40,1000.00
154,17075.05,17075.05,1000.00
155,17175.73,17175.73,1000.00
156,17276.44,17276.44,1000.00
157,17377.19,17377.19,1000.00
158,17477.97,17477.97,1000.00
159,17578.78,17578.78,1000.00
160,17679.62,17679.62,1000.00
161,17780.50,17780.50,1000.00
162,17881.41,17881.41,1000.00
163,17982.35,17982.35,1000.00
164,18083.32,18083.32,1000.00
165,18184.33,18184.33,1000.00
166,18285.37,18285.37,1000.00
167,18386.44,18386.44,1000.00
